"StrainID","Date"
"seq246","2021-05-01"
"seq247","2021-05-11"
"seq248","2021-04-14"
"seq249","2021-04-15"
"seq250","2021-04-14"
"seq251","2021-05-08"
"seq252","2021-05-03"
"seq253","2021-05-09"
"seq254","2021-05-11"
"seq255","2021-05-11"
"seq256","2021-05-12"
"seq257","2021-05-14"
"seq258","2021-05-16"
"seq259","2021-05-15"
"seq260","2021-04-23"
"seq261","2021-04-30"
"seq262","2021-05-10"
"seq263","2021-04-25"
"seq264","2021-03-26"
"seq265","2021-03-22"
"seq266","2021-04-20"
"seq267","2021-04-26"
"seq268","2021-03-23"
"seq269","2021-04-12"
"seq270","2021-03-22"
"seq271","2021-03-19"
"seq272","2021-03-20"
"seq273","2021-03-21"
"seq274","2021-03-27"
"seq275","2021-03-30"
"seq276","2021-04-04"
"seq277","2021-04-20"
"seq278","2021-03-25"
"seq279","2021-03-23"
"seq280","2021-03-25"
"seq281","2021-03-16"
"seq282","2021-03-24"
"seq283","2021-04-09"
"seq284","2021-04-19"
"seq285","2021-04-19"
"seq286","2021-04-19"
"seq287","2021-05-01"
"seq288","2021-05-03"
"seq289","2021-05-03"
"seq290","2021-04-25"
"seq291","2021-05-03"
"seq292","2021-05-03"
"seq293","2021-05-16"
"seq294","2021-04-27"
"seq295","2021-05-04"
"seq296","2021-05-05"
"seq297","2021-05-25"
"seq298","2021-05-27"
"seq299","2021-03-18"
"seq300","2021-03-18"
"seq301","2021-03-25"
"seq302","2021-03-22"
"seq303","2021-03-22"
"seq304","2021-03-21"
"seq305","2021-03-23"
"seq306","2021-03-28"
"seq307","2021-03-23"
"seq308","2021-03-25"
"seq309","2021-03-25"
"seq310","2021-03-25"
"seq311","2021-03-26"
"seq312","2021-03-26"
"seq313","2021-04-30"
"seq314","2021-05-06"
"seq315","2021-05-10"
"seq316","2021-05-11"
"seq317","2021-05-16"
"seq318","2021-05-18"
"seq319","2021-05-26"
"seq320","2021-05-30"
"seq321","2021-05-30"
"seq322","2021-06-02"
"seq323","2021-06-02"
"seq324","2021-06-02"
"seq325","2021-06-03"
"seq326","2021-06-03"
"seq327","2021-06-03"
"seq328","2021-05-03"
"seq329","2021-03-21"
"seq330","2021-03-18"
"seq331","2021-04-05"
"seq332","2021-03-25"
"seq333","2021-03-18"
"seq334","2021-03-12"
"seq335","2021-02-26"
"seq336","2021-03-01"
"seq337","2021-03-10"
"seq338","2021-03-06"
"seq339","2021-03-01"
"seq340","2021-03-19"
"seq341","2021-04-04"
"seq342","2021-04-02"
"seq343","2021-05-06"
"seq344","2021-05-08"
"seq345","2021-05-06"
